path	description	source	licence	redistributed_here	bytes	sha256	retrieved
data/awg/plantcv_shoot_traits.csv	PlantCV shoot morphometrics re-scored from the OSD-476 plate scans	https://github.com/dr-richard-barker/Lunar_regolith_AWG	CC-BY-4.0	yes	36256	248c61f94bcc783ae909eb1d4401d0369a1a4a530b1bbffd4bea1b077439dad8	2026-08-21
data/awg/broad_lunar_model_deseq2.csv	Broad Lunar linear model: all Apollo samples pooled vs JSC-1A (DESeq2)	https://github.com/dr-richard-barker/Lunar_regolith_AWG	CC-BY-4.0	yes	864516	707e02828202f5d177bf5564f1eb00c32729d0fea1b60ab35da95e00b08f231c	2026-08-21
data/awg/osd476_nfcore_counts.csv	nf-core/rnaseq counts for the OSD-476 assay (dupRadar run 1)	https://github.com/dr-richard-barker/Lunar_regolith_AWG	CC-BY-4.0	yes	2593452	20f03c477f1d5dc8b7d2e49fbf01a969bbc4ff521d1bbf540378250cc189f389	2026-08-21
data/awg/simulant_endpoint.csv	CoSE Lunar Large Chamber probe: endpoint readings, 8 substrates	https://github.com/dr-richard-barker/Lunar_regolith_AWG	CC-BY-4.0	yes	1304	5499fb8e9192b9f3299ca77ee5c569ffda3de15f95c13ea447600eef5d0c547b	2026-08-21
data/awg/simulant_timeseries.csv	CoSE Lunar Large Chamber probe: full time series	https://github.com/dr-richard-barker/Lunar_regolith_AWG	CC-BY-4.0	yes	19729	07ef18ddbd5a2106ade1d2b975bfb13042564a275ff50ef1d3e449759876285a	2026-08-21
data/awg/simulant_catalogue.csv	Exolith LHS-1 specification (mineralogy, chemistry, physical properties)	https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant	manufacturer spec sheet, factual data	yes	28090	50015ac412b32eb76a235b156c6ce0199f836716c07d39a2bc4010dd631b02c4	2026-08-21
data/awg/ce5_farside_soil_composition.csv	Chang'e-5 lunar soil bulk chemistry (XRF + INAA)	https://doi.org/10.1093/nsr/nwab188	cite the source publication	yes	1780	d67be53760bfbf88c7c02176c61fa5059ec5d3cbb6af1f76725937a78b59fa02	2026-08-21
data/awg/osdr_substrate_isa_template.xlsx	OSDR ISA configuration template for a ground regolith substrate study	https://github.com/dr-richard-barker/Lunar_regolith_AWG	CC-BY-4.0	yes	42881	f3870dd26f21ebdd4d451e5254911c9f49b65be4503502fcb72b3aa334914a53	2026-08-21
data/awg/plate_measurements_full.xlsx	Plate measurements accompanying the shoot-analysis series	https://github.com/dr-richard-barker/Lunar_regolith_AWG	CC-BY-4.0	yes	79456	ff95dc53c57fbe470e38d6842aebc67713bc3199e8e308c3ff558386bf272732	2026-08-21
data/awg/shoot_series/	20 P1-P4 plate photographs behind the PlantCV traits	https://github.com/dr-richard-barker/Lunar_regolith_AWG	CC-BY-4.0	yes	5122770	directory: 20 files	2026-08-21
data/osdr/OSD-476-ISA.zip	OSD-476 ISA-Tab archive: sample table, morphometric assay, RNA-seq assay	https://osdr.nasa.gov/bio/repo/data/studies/OSD-476	NASA open data	yes	131800	bd9d7a08e302db31ee3363b99e2a8c84fe780a8355ccc5ddb6a0f01ebe01cdf4	2026-08-21
data/osdr/sample_table.csv	GLDS-476 RNA-seq sample table (GSM -> condition)	https://osdr.nasa.gov/bio/repo/data/studies/OSD-476	NASA open data	yes	719	4afcd7d9a929643c800db934003c41f5d1934f548044631a6a2e608a7e6612c3	2026-08-21
data/osdr/contrasts.csv	GLDS-476 differential-expression contrast definitions	https://osdr.nasa.gov/bio/repo/data/studies/OSD-476	NASA open data	yes	1079	ad58513f82737b6aeebc65ea0fc01d1f5f2594b3a8af61bb1da1078d29dc5733	2026-08-21
data/osdr/raw_large/vst_counts_rRNArm.csv	GLDS-476 variance-stabilised counts, rRNA removed (7.9 MB)	https://osdr.nasa.gov/bio/repo/data/studies/OSD-476	NASA open data	no — re-fetched by scripts/01_fetch_osdr.py	8240608	9c7802d375eece9a039db3f167feb41175e57b4c38a2801906a8f62556e2779d	2026-08-21
data/osdr/raw_large/normalized_counts_rRNArm.csv	GLDS-476 normalised counts, rRNA removed (7.3 MB)	https://osdr.nasa.gov/bio/repo/data/studies/OSD-476	NASA open data	no — re-fetched by scripts/01_fetch_osdr.py	7684310	afb354208671273e9a1762199adeeb259a515fa7a27cdab3f72ff4fcff799e16	2026-08-21
data/osdr/raw_large/differential_expression_rRNArm.csv	GLDS-476 differential expression, all contrasts + annotation (36 MB)	https://osdr.nasa.gov/bio/repo/data/studies/OSD-476	NASA open data	no — re-fetched by scripts/01_fetch_osdr.py	38033892	632a02904ddb139ca0363cca9e59e70d6f6b32ff8dfe6de1a20323550213040d	2026-08-21
data/osdr/raw_large/osd-670/	OSD-670 morphometric photographs, full resolution (~20 MB)	https://osdr.nasa.gov/bio/repo/data/studies/OSD-670	NASA open data	no — downscaled copies are in public/images/osd-670/	33275940	directory: 16 files	2026-08-21
data/go_terms.json	GO term names cached from the EBI QuickGO service	https://www.ebi.ac.uk/QuickGO/	EMBL-EBI terms of use	yes	187134	cefb8498695e0d33ec013f81c075a80c6779a94b34381095793bc02dc796cd98	2026-08-21
public/images/awg-shoot-series/	Web-sized copies of the AWG plate photographs (long edge 1600 px)	https://github.com/dr-richard-barker/Lunar_regolith_AWG	CC-BY-4.0	yes	4014456	directory: 20 files	2026-08-21
public/images/osd-670/	Web-sized copies of the OSD-670 photographs (long edge 1600 px)	https://osdr.nasa.gov/bio/repo/data/studies/OSD-670	NASA open data	yes	5428854	directory: 16 files	2026-08-21
