repository,accession,title,organism,factors,measurements,released,files,images,image_mb,reason_included,url
NASA OSDR,OSD-22,Root transcriptome remodeling of Arabidopsis in response to high levels of magnesium sulfate,Arabidopsis thaliana,soil environment exposure · Time · Genotype,transcription profiling,2017-09-17,31,0,0.0,Arabidopsis root transcriptome under high magnesium — a terrestrial proxy for the ionic stress regolith imposes.,https://osdr.nasa.gov/bio/repo/data/studies/OSD-22
NASA OSDR,OSD-305,"Transcriptomic responses of Serratia liquefaciens cells grown under simulated Martian conditions of low temperature, low pressure, and CO2-enriched anoxic atmosphere.",Serratia liquefaciens,Temperature · Atmospheric Pressure · Atmospheric Composition,transcription profiling,2020-08-27,18,0,0.0,Serratia liquefaciens under simulated Martian conditions — a microbial counterpart to the plant studies.,https://osdr.nasa.gov/bio/repo/data/studies/OSD-305
NASA OSDR,OSD-476,Plants grown in Apollo lunar regolith present stress-associated transcriptomes that inform prospects for lunar exploration,Arabidopsis thaliana,Treatment,transcription profiling · Morphometric analysis,2022-05-16,457,66,2721.0,Arabidopsis grown in Apollo 11/12/17 regolith vs JSC-1A simulant — RNA-seq + per-plant morphometrics. The reference study for this database.,https://osdr.nasa.gov/bio/repo/data/studies/OSD-476
NASA OSDR,OSD-581,A molecular study of Italian ryegrass grown on Martian regolith simulant,Lolium multiflorum,soil environment exposure · Organism Part,protein expression profiling,2022-11-07,14,0,0.0,Italian ryegrass (Lolium multiflorum) on Martian regolith simulant — proteomics.,https://osdr.nasa.gov/bio/repo/data/studies/OSD-581
NASA OSDR,OSD-670,CI Asteroid Regolith as an In Situ Plant Growth Medium for Space Crop Production,Raphanus sativus · Lactuca sativa · Capsicum annuum,Substrate Type,Image Analysis,2024-05-21,20,17,33.9,Radish and lettuce grown in CI asteroid regolith simulant as an in-situ growth medium.,https://osdr.nasa.gov/bio/repo/data/studies/OSD-670
NASA OSDR,OSD-855,"Apollo 17 Challenge System - Seed Germination (Cabbage, Brussel Sprouts, Radish and Lettuce)",Lactuca sativa · Raphanus sativus · Brassica oleracea,soil environment exposure · growth medium provenance,Germination and Growth Assesment,2025-06-18,4,0,0.0,"Apollo 17 Challenge System: seed germination (cabbage, brussels sprout, radish) in contact with lunar material.",https://osdr.nasa.gov/bio/repo/data/studies/OSD-855
NASA OSDR,OSD-856,Effect of varying amounts of simulated lunar soil batch #005 upon growth of lettuce explants,Lactuca sativa,Treatment · Strain,Germination and Growth Assesment,2025-07-30,2,0,0.0,Dose-response of lettuce growth to varying amounts of simulated lunar soil (batch #005).,https://osdr.nasa.gov/bio/repo/data/studies/OSD-856
NASA OSDR,OSD-877,"Element content of seedlings from seed and liverwort plant tissue in Apollo 15 and Apollo 16 post-flight biomedical evaluations (MMP 21243, MMP 21242)",Raphanus sativus · Lactuca sativa · Brassica oleracea · Glycine max · Citrus limonia · Marchantia,Treatment · Growth Medium Provenance,Spectrochemical Analysis,2025-09-18,4,0,0.0,Elemental content of seedlings and liverwort tissue exposed to Apollo 15 lunar material.,https://osdr.nasa.gov/bio/repo/data/studies/OSD-877
NASA OSDR,OSD-883,Analysis of Vegetable Seedlings Grown in Contact with Apollo 14 Lunar Surface Fines,Brassica oleracea · Lactuca sativa · Raphanus sativus · Daucus carota,Treatment · Growth Medium Provenance,Spectrochemical Analysis · Spectrochemical Analysis · Germination and Growth Assesment,2025-08-15,2,0,0.0,Vegetable seedlings grown in contact with Apollo 14 lunar surface material.,https://osdr.nasa.gov/bio/repo/data/studies/OSD-883
NASA PSI,PSI-47,Dust and Aerosol Measurement Feasibility Test / Dust and Aerosol Measurement Feasibility Test-2,,Combustion Science,Microgravity Investigation,03-01-2003,,,,Dust and aerosol measurement: particulate behaviour in a closed cabin — relevant to regolith dust load in a plant-growth habitat.,https://psi.nasa.gov/physci/repo/data/investigations/PSI-47
NASA PSI,PSI-83,Microgravity Investigation of Cement Solidification - Multi-use Variable Gravity Platform,,Materials Science,Microgravity Investigation,11-22-2016,,,,MICS on a variable-gravity platform — the gravity-level dependence of the same binder chemistry.,https://psi.nasa.gov/physci/repo/data/investigations/PSI-83
NASA PSI,PSI-84,Microgravity Investigation of Cement Solidification,,Materials Science,Microgravity Investigation,11-22-2016,,,,"Cement solidified in microgravity (MICS): hydration and pore structure of a regolith-derived binder. The ISRU counterpart to growing in regolith — the same feedstock, a different use.",https://psi.nasa.gov/physci/repo/data/investigations/PSI-84
NASA PSI,PSI-110,An International Space Station Experiment into Fundamental Regolith Processes in Microgravity,,Materials Science,Microgravity Investigation,,,,,Regolith mechanics in microgravity (STRATA-1): how granular beds of asteroid/lunar-analogue material segregate and pack over long durations. Bears on substrate settling and root penetration resistance in low gravity.,https://psi.nasa.gov/physci/repo/data/investigations/PSI-110
NASA PSI,PSI-174,Micromechanics Based Modeling of Cement Solidified in the Microgravity,,Materials Science,Ground Investigation,11-01-2021,,,,"Micromechanical modelling of microgravity-solidified cement, giving pore-network parameters for regolith-derived material.",https://psi.nasa.gov/physci/repo/data/investigations/PSI-174
NASA PSI,PSI-187,Plant Water Management,,Fluid Physics,Microgravity Investigation,02-16-2023,,,,"Plant Water Management: capillary water delivery to plant roots in microgravity. Not regolith, but the irrigation physics any regolith substrate has to work with.",https://psi.nasa.gov/physci/repo/data/investigations/PSI-187
